DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200412621,09/10/2020 12:00:00 AM,09/09/2020 12:00:00 AM,1800,04,Hollenbeck,0467,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,100 S  SOTO                         ST,,34.0424,-118.2107
201106871,03/04/2020 12:00:00 AM,03/02/2020 12:00:00 AM,2130,11,Northeast,1107,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,50,M,H,101,STREET,,,IC,Invest Cont,745,,,,6100    DELPHI                       ST,,34.1241,-118.1878
200119680,10/19/2020 12:00:00 AM,10/18/2020 12:00:00 AM,1800,01,Central,0159,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,1800    CONWAY                       PL,,34.0366,-118.2325
200410224,06/27/2020 12:00:00 AM,06/27/2020 12:00:00 AM,0400,04,Hollenbeck,0471,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,4TH,CLARENCE,34.0427,-118.2237
200412621,09/10/2020 12:00:00 AM,09/09/2020 12:00:00 AM,1800,04,Hollenbeck,0467,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,100 S  SOTO                         ST,,34.0424,-118.2107
201106871,03/04/2020 12:00:00 AM,03/02/2020 12:00:00 AM,2130,11,Northeast,1107,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,50,M,H,101,STREET,,,IC,Invest Cont,745,,,,6100    DELPHI                       ST,,34.1241,-118.1878
200119680,10/19/2020 12:00:00 AM,10/18/2020 12:00:00 AM,1800,01,Central,0159,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,1800    CONWAY                       PL,,34.0366,-118.2325
200410224,06/27/2020 12:00:00 AM,06/27/2020 12:00:00 AM,0400,04,Hollenbeck,0471,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,4TH,CLARENCE,34.0427,-118.2237
200412621,09/10/2020 12:00:00 AM,09/09/2020 12:00:00 AM,1800,04,Hollenbeck,0467,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,100 S  SOTO                         ST,,34.0424,-118.2107
201106871,03/04/2020 12:00:00 AM,03/02/2020 12:00:00 AM,2130,11,Northeast,1107,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,50,M,H,101,STREET,,,IC,Invest Cont,745,,,,6100    DELPHI                       ST,,34.1241,-118.1878
201106871,03/04/2020 12:00:00 AM,03/02/2020 12:00:00 AM,2130,11,Northeast,1107,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,50,M,H,101,STREET,,,IC,Invest Cont,745,,,,6100    DELPHI                       ST,,34.1241,-118.1878
200119680,10/19/2020 12:00:00 AM,10/18/2020 12:00:00 AM,1800,01,Central,0159,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,1800    CONWAY                       PL,,34.0366,-118.2325
200410224,06/27/2020 12:00:00 AM,06/27/2020 12:00:00 AM,0400,04,Hollenbeck,0471,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,4TH,CLARENCE,34.0427,-118.2237
200412621,09/10/2020 12:00:00 AM,09/09/2020 12:00:00 AM,1800,04,Hollenbeck,0467,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,100 S  SOTO                         ST,,34.0424,-118.2107
201106871,03/04/2020 12:00:00 AM,03/02/2020 12:00:00 AM,2130,11,Northeast,1107,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,50,M,H,101,STREET,,,IC,Invest Cont,745,,,,6100    DELPHI                       ST,,34.1241,-118.1878
